station,valid,time,tmpf,dwpf,relh,drct,sknt,p01i,alti,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,feel
0CO,9/1/23,12:55:00 AM,46.4,26.6,45.73,M,M,0,30.79,10,M,CLR,M,M,M,M,M,M,M
0CO,9/1/23,1:55:00 AM,44.6,24.8,45.44,140,18,0,30.8,10,M,CLR,M,M,M,M,M,M,36.34
0CO,9/1/23,2:55:00 AM,44.6,23,42.14,120,22,0,30.82,10,M,CLR,M,M,M,M,M,M,35.45
0CO,9/1/23,3:55:00 AM,44.6,21.2,39.06,M,M,0,30.82,10,M,CLR,M,M,M,M,M,M,M
0CO,9/1/23,4:55:00 AM,42.8,26.6,52.45,120,21,0,30.82,10,29,CLR,M,M,M,M,M,M,33.26
0CO,9/1/23,5:55:00 AM,41,26.6,56.22,130,18,0,30.81,10,31,CLR,M,M,M,M,M,M,31.6
0CO,9/1/23,6:55:00 AM,41,28.4,60.54,130,19,0,30.81,10,M,CLR,M,M,M,M,M,M,31.34
0CO,9/1/23,7:55:00 AM,41,28.4,60.54,120,16,0,30.81,10,25,CLR,M,M,M,M,M,M,32.15
0CO,9/1/23,8:55:00 AM,41,28.4,60.54,140,17,0,30.81,10,M,CLR,M,M,M,M,M,M,31.87
0CO,9/1/23,9:55:00 AM,41,28.4,60.54,130,19,0,30.8,10,26,CLR,M,M,M,M,M,M,31.34
0CO,9/1/23,10:55:00 AM,39.2,28.4,64.93,130,21,0,30.8,10,26,CLR,M,M,M,M,M,M,28.46
0CO,9/1/23,11:55:00 AM,39.2,28.4,64.93,130,18,0,30.8,10,25,CLR,M,M,M,M,M,M,29.23
0CO,9/1/23,12:55:00 PM,37.4,28.4,69.67,140,22,0,30.8,10,27,CLR,M,M,M,M,M,M,25.81
0CO,9/1/23,1:55:00 PM,41,30.2,65.16,M,M,0,30.81,10,M,CLR,M,M,M,M,M,M,M
0CO,9/1/23,2:55:00 PM,42.8,30.2,60.79,M,M,0,30.82,10,M,CLR,M,M,M,M,M,M,M
0CO,9/1/23,3:55:00 PM,44.6,24.8,45.44,120,16,0,30.83,10,M,CLR,M,M,M,M,M,M,36.84
0CO,9/1/23,4:55:00 PM,44.6,26.6,48.96,M,M,0,30.84,10,M,CLR,M,M,M,M,M,M,M
0CO,9/1/23,5:55:00 PM,48.2,23,36.78,120,11,0,30.84,10,21,CLR,M,M,M,M,M,M,42.94
0CO,9/1/23,6:55:00 PM,50,23,34.39,160,15,0,30.84,10,24,CLR,M,M,M,M,M,M,50
0CO,9/1/23,7:55:00 PM,50,24.8,37.08,130,12,0,30.83,10,23,CLR,M,M,M,M,M,M,50
0CO,9/1/23,8:55:00 PM,50,23,34.39,150,13,0,30.81,10,20,CLR,M,M,M,M,M,M,50
0CO,9/1/23,9:55:00 PM,50,23,34.39,M,M,0,30.79,10,M,CLR,M,M,M,M,M,M,50
0CO,9/1/23,10:55:00 PM,48.2,23,36.78,120,16,0,30.79,10,M,CLR,M,M,M,M,M,M,41.53
0CO,9/1/23,11:55:00 PM,46.4,21.2,36.48,120,16,0,30.79,10,M,CLR,M,M,M,M,M,M,39.19
0CO,9/2/23,12:55:00 AM,44.6,21.2,39.06,M,M,0,30.77,10,M,CLR,M,M,M,M,M,M,M
0CO,9/2/23,1:55:00 AM,42.8,23,45.14,M,M,0,30.77,10,M,CLR,M,M,M,M,M,M,M
0CO,9/2/23,2:55:00 AM,42.8,26.6,52.45,M,M,0,30.79,10,M,SCT,M,M,M,10000,M,M,M
0CO,9/2/23,3:55:00 AM,42.8,26.6,52.45,160,22,0,30.8,10,M,CLR,M,M,M,M,M,M,33.04
0CO,9/2/23,4:55:00 AM,41,26.6,56.22,220,7,0,30.8,10,M,CLR,M,M,M,M,M,M,35.75
0CO,9/2/23,5:55:00 AM,41,26.6,56.22,260,12,0,30.79,10,24,CLR,M,M,M,M,M,M,33.46
0CO,9/2/23,6:55:00 AM,41,24.8,52.17,260,14,0,30.78,10,25,CLR,M,M,M,M,M,M,32.76
0CO,9/2/23,7:55:00 AM,41,23,48.39,260,22,0,30.77,10,26,CLR,M,M,M,M,M,M,30.63
0CO,9/2/23,8:55:00 AM,41,23,48.39,250,7,0,30.77,10,M,SCT,M,M,M,12000,M,M,35.75
0CO,9/2/23,9:55:00 AM,41,24.8,52.17,260,8,0,30.77,10,M,SCT,M,M,M,12000,M,M,35.2
0CO,9/2/23,10:55:00 AM,42.8,23,45.14,290,10,0,30.75,10,M,SCT,M,M,M,12000,M,M,36.51
0CO,9/2/23,11:55:00 AM,42.8,23,45.14,300,6,0,30.75,10,M,CLR,M,M,M,M,M,M,38.54
0CO,9/2/23,12:55:00 PM,42.8,23,45.14,300,6,0,30.77,10,M,CLR,M,M,M,M,M,M,38.54
0CO,9/2/23,1:55:00 PM,42.8,26.6,52.45,280,7,0,30.77,10,M,CLR,M,M,M,M,M,M,37.94
0CO,9/2/23,2:55:00 PM,44.6,26.6,48.96,310,9,0,30.78,10,17,CLR,M,M,M,M,M,M,39.18
0CO,9/2/23,3:55:00 PM,46.4,28.4,49.24,310,6,0,30.79,10,15,CLR,M,M,M,M,M,M,42.87
0CO,9/2/23,4:55:00 PM,50,28.4,43.03,60,4,0,30.79,10,M,CLR,M,M,M,M,M,M,50
0CO,9/2/23,5:55:00 PM,51.8,30.2,43.32,20,5,0,30.79,10,15,CLR,M,M,M,M,M,M,51.8
0CO,9/2/23,6:55:00 PM,53.6,30.2,40.54,40,5,0,30.77,10,M,CLR,M,M,M,M,M,M,53.6
0CO,9/2/23,7:55:00 PM,51.8,28.4,40.25,40,7,0,30.76,10,M,SCT,SCT,M,M,6000,9500,M,51.8
0CO,9/2/23,8:55:00 PM,48.2,28.4,46.02,M,M,0,30.74,10,M,BKN,OVC,M,M,6000,9000,M,M
0CO,9/2/23,9:55:00 PM,46.4,30.2,53,170,8,0,30.75,10,M,SCT,OVC,M,M,3600,4500,M,41.85
0CO,9/2/23,10:55:00 PM,46.4,28.4,49.24,0,0,0,30.75,10,M,BKN,OVC,M,M,6500,7000,M,46.4
0CO,9/2/23,11:55:00 PM,44.6,30.2,56.74,130,5,0,30.75,10,M,BKN,OVC,M,M,5000,6000,M,41.36
0CO,9/3/23,12:55:00 AM,44.6,30.2,56.74,140,4,0,30.75,10,M,SCT,BKN,M,M,6000,8000,M,42.13
0CO,9/3/23,1:55:00 AM,42.8,30.2,60.79,160,7,0,30.75,10,M,OVC,M,M,M,9000,M,M,37.94
0CO,9/3/23,2:55:00 AM,42.8,28.4,56.48,260,11,0,30.77,10,M,CLR,M,M,M,M,M,M,36.11
0CO,9/3/23,3:55:00 AM,42.8,28.4,56.48,260,6,0,30.77,10,M,CLR,M,M,M,M,M,M,38.54
0CO,9/3/23,4:55:00 AM,44.6,28.4,52.72,260,3,0,30.76,10,M,CLR,M,M,M,M,M,M,43.09
0CO,9/3/23,5:55:00 AM,44.6,28.4,52.72,290,16,0,30.74,10,M,CLR,M,M,M,M,M,M,36.84
0CO,9/3/23,6:55:00 AM,42.8,26.6,52.45,290,13,0,30.74,10,M,CLR,M,M,M,M,M,M,35.4
0CO,9/3/23,7:55:00 AM,42.8,28.4,56.48,300,13,0,30.73,10,M,CLR,M,M,M,M,M,M,35.4
0CO,9/3/23,8:55:00 AM,42.8,28.4,56.48,290,13,0,30.72,10,M,CLR,M,M,M,M,M,M,35.4
0CO,9/3/23,9:55:00 AM,42.8,28.4,56.48,290,11,0,30.72,10,M,CLR,M,M,M,M,M,M,36.11
0CO,9/3/23,10:55:00 AM,42.8,28.4,56.48,300,8,0,30.72,10,M,CLR,M,M,M,M,M,M,37.42
0CO,9/3/23,11:55:00 AM,41,28.4,60.54,310,7,0,30.72,10,17,CLR,M,M,M,M,M,M,35.75
0CO,9/3/23,12:55:00 PM,41,28.4,60.54,300,8,0,30.73,10,22,CLR,M,M,M,M,M,M,35.2
0CO,9/3/23,1:55:00 PM,42.8,30.2,60.79,310,7,0,30.74,10,M,CLR,M,M,M,M,M,M,37.94
0CO,9/3/23,2:55:00 PM,44.6,30.2,56.74,310,7,0,30.75,10,18,CLR,M,M,M,M,M,M,40.14
0CO,9/3/23,3:55:00 PM,48.2,32,53.27,340,7,0,30.77,10,M,CLR,M,M,M,M,M,M,44.53
0CO,9/3/23,4:55:00 PM,51.8,32,46.59,350,7,0,30.77,10,M,CLR,M,M,M,M,M,M,51.8
0CO,9/3/23,5:55:00 PM,51.8,32,46.59,360,5,0,30.77,10,M,SCT,M,M,M,4400,M,M,51.8
0CO,9/3/23,6:55:00 PM,51.8,30.2,43.32,300,8,0,30.75,10,16,SCT,BKN,M,M,4600,5500,M,51.8
0CO,9/3/23,7:55:00 PM,51.8,28.4,40.25,170,5,0,30.74,10,M,SCT,BKN,BKN,M,5500,7500,9500,51.8
0CO,9/3/23,8:55:00 PM,51.8,26.6,37.38,20,5,0,30.73,10,20,SCT,BKN,BKN,M,6000,9500,12000,51.8
0CO,9/3/23,9:55:00 PM,51.8,26.6,37.38,130,5,0,30.72,10,M,BKN,OVC,M,M,7000,8500,M,51.8
0CO,9/3/23,10:55:00 PM,50,28.4,43.03,170,12,0,30.72,10,15,BKN,BKN,BKN,M,7000,8000,12000,50
0CO,9/3/23,11:55:00 PM,50,28.4,43.03,160,6,0,30.71,10,M,SCT,BKN,BKN,M,7000,8000,11000,50
0CO,9/4/23,12:55:00 AM,48.2,28.4,46.02,120,7,0,30.71,10,M,SCT,OVC,M,M,6000,8000,M,44.53
0CO,9/4/23,1:55:00 AM,46.4,30.2,53,160,6,0,30.72,10,M,SCT,BKN,OVC,M,5500,8000,9000,42.87
0CO,9/4/23,2:55:00 AM,44.6,32,61.03,170,10,0,30.74,10,14,SCT,BKN,BKN,M,6000,7500,9500,38.77
0CO,9/4/23,3:55:00 AM,42.8,32,65.38,250,12,0,30.74,10,24,SCT,OVC,M,M,5500,9000,M,35.75
0CO,9/4/23,4:55:00 AM,44.6,30.2,56.74,260,11,0,30.74,10,M,SCT,BKN,OVC,M,7000,8000,9000,38.39
0CO,9/4/23,5:55:00 AM,46.4,30.2,53,90,4,0,30.74,10,M,SCT,BKN,M,M,6500,8500,M,44.24
0CO,9/4/23,6:55:00 AM,44.6,30.2,56.74,300,5,0,30.74,10,M,CLR,M,M,M,M,M,M,41.36
0CO,9/4/23,7:55:00 AM,42.8,30.2,60.79,310,4,0,30.74,10,M,SCT,M,M,M,8000,M,M,40.03
0CO,9/4/23,8:55:00 AM,42.8,30.2,60.79,160,9,0,30.73,10,M,CLR,M,M,M,M,M,M,36.94
0CO,9/4/23,9:55:00 AM,42.8,28.4,56.48,180,5,0,30.72,10,M,CLR,M,M,M,M,M,M,39.22
0CO,9/4/23,10:55:00 AM,42.8,28.4,56.48,150,4,0,30.72,10,M,CLR,M,M,M,M,M,M,40.03
0CO,9/4/23,11:55:00 AM,42.8,26.6,52.45,150,6,0,30.73,10,M,CLR,M,M,M,M,M,M,38.54
0CO,9/4/23,12:55:00 PM,42.8,26.6,52.45,250,8,0,30.74,10,M,CLR,M,M,M,M,M,M,37.42
0CO,9/4/23,1:55:00 PM,42.8,28.4,56.48,290,6,0,30.75,10,M,BKN,M,M,M,9500,M,M,38.54
0CO,9/4/23,2:55:00 PM,39.2,32,75.16,340,8,0,30.77,10,M,CLR,M,M,M,M,M,M,32.98
0CO,9/4/23,3:55:00 PM,39.2,33.8,80.79,320,8,0,30.77,10,M,BKN,BKN,M,M,700,10000,M,32.98
0CO,9/4/23,4:55:00 PM,39.2,35.6,86.79,310,6,0,30.79,7,M,OVC,M,M,M,100,M,M,34.2
0CO,9/4/23,5:55:00 PM,35.6,35.6,100,340,13,0,30.79,0.25,23,OVC,M,M,M,100,M,M,26.18
0CO,9/4/23,6:55:00 PM,41,32,70.08,270,22,0,30.77,10,31,SCT,BKN,BKN,M,2600,3500,4200,30.63
0CO,9/4/23,7:55:00 PM,46.4,28.4,49.24,310,19,0,30.77,10,29,SCT,SCT,BKN,M,5000,7000,8500,38.48
0CO,9/4/23,8:55:00 PM,33.8,32,93.03,260,13,0,30.79,5,36,SCT,OVC,M,M,800,1500,M,23.87
0CO,9/4/23,9:55:00 PM,44.6,32,61.03,290,18,0,30.74,10,32,CLR,M,M,M,M,M,M,36.34
0CO,9/4/23,10:55:00 PM,46.4,30.2,53,300,21,0,30.74,10,30,CLR,M,M,M,M,M,M,38.06
0CO,9/4/23,11:55:00 PM,42.8,33.8,70.28,320,18,0,30.77,10,22,SCT,SCT,BKN,M,4000,5000,10000,33.97
0CO,9/5/23,12:55:00 AM,41,32,70.08,310,6,0,30.77,10,M,SCT,SCT,M,M,4100,8000,M,36.37
0CO,9/5/23,1:55:00 AM,37.4,32,80.65,80,3,0,30.79,10,M,CLR,M,M,M,M,M,M,34.86
0CO,9/5/23,2:55:00 AM,35.6,35.6,100,150,11,0,30.8,0.25,19,OVC,M,M,M,100,M,M,27.02
0CO,9/5/23,3:55:00 AM,35.6,35.6,100,140,18,0,30.79,0.25,21,OVC,M,M,M,100,M,M,24.49
0CO,9/5/23,4:55:00 AM,32,32,100,350,12,0.08,30.8,0.25,25,OVC,M,M,M,100,M,M,22
0CO,9/5/23,5:55:00 AM,32,32,100,300,17,0.06,30.79,0.5,21,OVC,M,M,M,100,M,M,20.08
0CO,9/5/23,6:55:00 AM,32,32,100,270,16,0.03,30.79,10,20,SCT,OVC,M,M,4400,6000,M,20.42
0CO,9/5/23,7:55:00 AM,33.8,32,93.03,280,10,0.02,30.77,10,17,SCT,SCT,SCT,M,8000,9000,11000,25.23
0CO,9/5/23,8:55:00 AM,33.8,30.2,86.49,260,7,0,30.77,10,18,SCT,M,M,M,8000,M,M,26.97
0CO,9/5/23,9:55:00 AM,33.8,30.2,86.49,160,8,0,30.79,10,17,BKN,OVC,M,M,5500,7000,M,26.33
0CO,9/5/23,10:55:00 AM,33.8,28.4,80.36,90,14,0,30.77,10,24,SCT,SCT,SCT,M,6500,8500,11000,23.48
0CO,9/5/23,11:55:00 AM,32,30.2,92.97,150,11,0,30.77,2.5,18,CLR,M,M,M,M,M,M,22.47
0CO,9/5/23,12:55:00 PM,32,32,100,170,14,0,30.78,0.25,20,BKN,M,M,M,100,M,M,21.16
0CO,9/5/23,1:55:00 PM,32,32,100,150,10,0,30.79,0.25,15,OVC,M,M,M,100,M,M,22.97
0CO,9/5/23,2:55:00 PM,32,32,100,120,19,0,30.8,0.25,32,OVC,M,M,M,100,M,M,19.44
0CO,9/5/23,3:55:00 PM,32,32,100,130,17,0,30.82,0.25,27,OVC,M,M,M,100,M,M,20.08
0CO,9/5/23,4:55:00 PM,32,32,100,140,13,0,30.83,0.25,19,OVC,M,M,M,100,M,M,21.57
0CO,9/5/23,5:55:00 PM,33.8,32,93.03,120,10,0,30.84,2,18,BKN,BKN,BKN,M,400,1400,2700,25.23
0CO,9/5/23,6:55:00 PM,33.8,33.8,100,140,14,0,30.84,0.25,19,OVC,M,M,M,200,M,M,23.48
0CO,9/5/23,7:55:00 PM,35.6,32,86.59,110,6,0,30.85,7,18,SCT,SCT,BKN,M,800,1600,2300,29.87
0CO,9/5/23,8:55:00 PM,35.6,33.8,93.08,140,7,0.01,30.85,4,17,SCT,BKN,OVC,M,200,1000,4200,29.17
0CO,9/5/23,9:55:00 PM,33.8,33.8,100,140,12,0.01,30.85,0.25,17,OVC,M,M,M,200,M,M,24.29
0CO,9/5/23,10:55:00 PM,33.8,33.8,100,120,7,0,30.85,0.25,16,OVC,M,M,M,200,M,M,26.97
0CO,9/5/23,11:55:00 PM,35.6,33.8,93.08,140,13,0,30.86,0.25,18,OVC,M,M,M,200,M,M,26.18
0CO,9/6/23,12:55:00 AM,33.8,33.8,100,160,16,0,30.86,0.25,M,OVC,M,M,M,200,M,M,22.76
0CO,9/6/23,1:55:00 AM,33.8,32,93.03,170,18,0,30.86,2.5,M,CLR,M,M,M,M,M,M,22.12
0CO,9/6/23,2:55:00 AM,33.8,30.2,86.49,160,15,0,30.86,10,18,CLR,M,M,M,M,M,M,23.11
0CO,9/6/23,3:55:00 AM,33.8,28.4,80.36,150,16,0,30.86,10,M,CLR,M,M,M,M,M,M,22.76
0CO,9/6/23,4:55:00 AM,33.8,28.4,80.36,150,15,0,30.85,10,M,CLR,M,M,M,M,M,M,23.11
0CO,9/6/23,5:55:00 AM,33.8,26.6,74.63,170,15,0,30.85,10,M,CLR,M,M,M,M,M,M,23.11
0CO,9/6/23,6:55:00 AM,35.6,21.2,55.41,260,5,0,30.85,10,M,CLR,M,M,M,M,M,M,30.67
0CO,9/6/23,7:55:00 AM,35.6,26.6,69.46,220,6,0,30.84,10,M,CLR,M,M,M,M,M,M,29.87
0CO,9/6/23,8:55:00 AM,35.6,26.6,69.46,270,8,0,30.83,10,M,CLR,M,M,M,M,M,M,28.55
0CO,9/6/23,9:55:00 AM,35.6,23,59.79,350,3,0,30.83,10,M,CLR,M,M,M,M,M,M,32.8
0CO,9/6/23,10:55:00 AM,35.6,21.2,55.41,210,5,0,30.82,10,M,CLR,M,M,M,M,M,M,30.67
0CO,9/6/23,11:55:00 AM,35.6,23,59.79,200,5,0,30.82,10,M,CLR,M,M,M,M,M,M,30.67
0CO,9/6/23,12:55:00 PM,35.6,21.2,55.41,230,5,0,30.82,10,M,CLR,M,M,M,M,M,M,30.67
0CO,9/6/23,1:55:00 PM,37.4,21.2,51.61,220,3,0,30.82,10,M,CLR,M,M,M,M,M,M,34.86
0CO,9/6/23,2:55:00 PM,42.8,21.2,41.84,250,5,0,30.83,10,M,CLR,M,M,M,M,M,M,39.22
0CO,9/6/23,3:55:00 PM,41,30.2,65.16,120,5,0,30.84,10,M,CLR,M,M,M,M,M,M,37.08
0CO,9/6/23,4:55:00 PM,44.6,32,61.03,150,6,0,30.85,10,M,CLR,M,M,M,M,M,M,40.71
0CO,9/6/23,5:55:00 PM,46.4,30.2,53,120,5,0,30.86,10,M,CLR,M,M,M,M,M,M,43.5
0CO,9/6/23,6:55:00 PM,48.2,30.2,49.53,120,5,0,30.85,10,M,CLR,M,M,M,M,M,M,45.63
0CO,9/6/23,7:55:00 PM,50,32,49.81,150,5,0,30.85,10,M,CLR,M,M,M,M,M,M,50
0CO,9/6/23,8:55:00 PM,51.8,28.4,40.25,340,6,0,30.84,10,M,CLR,M,M,M,M,M,M,51.8
0CO,9/6/23,9:55:00 PM,51.8,32,46.59,80,4,0,30.83,10,M,SCT,M,M,M,5000,M,M,51.8
0CO,9/6/23,10:55:00 PM,46.4,32,57,130,4,0,30.83,10,M,CLR,M,M,M,M,M,M,44.24
0CO,9/6/23,11:55:00 PM,44.6,32,61.03,130,4,0,30.82,10,M,CLR,M,M,M,M,M,M,42.13
0CO,9/7/23,12:55:00 AM,42.8,30.2,60.79,150,5,0,30.81,10,M,CLR,M,M,M,M,M,M,39.22
0CO,9/7/23,1:55:00 AM,41,28.4,60.54,150,6,0,30.81,10,M,CLR,M,M,M,M,M,M,36.37
0CO,9/7/23,2:55:00 AM,39.2,28.4,64.93,140,6,0,30.81,10,M,CLR,M,M,M,M,M,M,34.2
0CO,9/7/23,3:55:00 AM,41,26.6,56.22,170,4,0,30.8,10,M,CLR,M,M,M,M,M,M,37.93
0CO,9/7/23,4:55:00 AM,39.2,28.4,64.93,240,4,0,30.79,10,M,CLR,M,M,M,M,M,M,35.83
0CO,9/7/23,5:55:00 AM,41,28.4,60.54,240,5,0,30.78,10,17,CLR,M,M,M,M,M,M,37.08
0CO,9/7/23,6:55:00 AM,41,26.6,56.22,290,15,0,30.77,10,19,CLR,M,M,M,M,M,M,32.45
0CO,9/7/23,7:55:00 AM,41,26.6,56.22,290,15,0,30.77,10,M,CLR,M,M,M,M,M,M,32.45
0CO,9/7/23,8:55:00 AM,39.2,26.6,60.29,300,10,0,30.75,10,M,CLR,M,M,M,M,M,M,32
0CO,9/7/23,9:55:00 AM,39.2,26.6,60.29,290,13,0,30.74,10,M,CLR,M,M,M,M,M,M,30.79
0CO,9/7/23,10:55:00 AM,39.2,26.6,60.29,300,11,0,30.74,10,M,CLR,M,M,M,M,M,M,31.57
0CO,9/7/23,11:55:00 AM,37.4,26.6,64.7,290,11,0,30.74,10,M,SCT,M,M,M,3600,M,M,29.29
0CO,9/7/23,12:55:00 PM,37.4,28.4,69.67,280,11,0,30.74,10,M,BKN,M,M,M,3800,M,M,29.29
0CO,9/7/23,1:55:00 PM,41,28.4,60.54,300,13,0,30.75,10,M,SCT,M,M,M,3800,M,M,33.1
0CO,9/7/23,2:55:00 PM,41,28.4,60.54,290,12,0,30.75,10,M,CLR,M,M,M,M,M,M,33.46
0CO,9/7/23,3:55:00 PM,44.6,30.2,56.74,310,10,0,30.75,10,19,SCT,M,M,M,3700,M,M,38.77
0CO,9/7/23,4:55:00 PM,46.4,32,57,320,10,0,30.75,10,16,SCT,M,M,M,3900,M,M,41.03
0CO,9/7/23,5:55:00 PM,46.4,30.2,53,10,6,0,30.75,10,21,SCT,SCT,M,M,4200,5000,M,42.87
0CO,9/7/23,6:55:00 PM,48.2,30.2,49.53,360,6,0,30.74,10,18,SCT,SCT,M,M,4600,5500,M,45.04
0CO,9/7/23,7:55:00 PM,50,24.8,37.08,320,17,0,30.73,10,23,SCT,M,M,M,6000,M,M,50
0CO,9/7/23,8:55:00 PM,50,26.6,39.95,320,9,0,30.72,10,M,BKN,BKN,M,M,6000,7000,M,50
0CO,9/7/23,9:55:00 PM,48.2,26.6,42.73,310,10,0,30.71,10,21,SCT,SCT,SCT,M,7000,7500,8500,43.28
0CO,9/7/23,10:55:00 PM,48.2,26.6,42.73,310,5,0,30.7,10,M,SCT,SCT,BKN,M,6500,7500,8500,45.63
0CO,9/7/23,11:55:00 PM,46.4,28.4,49.24,80,9,0,30.7,10,M,BKN,BKN,OVC,M,6000,7000,9000,41.42
0CO,9/8/23,12:55:00 AM,42.8,32,65.38,110,13,0,30.69,10,M,OVC,M,M,M,4600,M,M,35.4
0CO,9/8/23,1:55:00 AM,41,30.2,65.16,140,6,0,30.7,10,M,SCT,SCT,SCT,M,4600,5500,7000,36.37
0CO,9/8/23,2:55:00 AM,42.8,28.4,56.48,210,4,0,30.7,10,M,CLR,M,M,M,M,M,M,40.03
0CO,9/8/23,3:55:00 AM,41,28.4,60.54,280,10,0,30.68,10,14,CLR,M,M,M,M,M,M,34.25
0CO,9/8/23,4:55:00 AM,41,28.4,60.54,290,12,0,30.68,10,M,CLR,M,M,M,M,M,M,33.46
0CO,9/8/23,5:55:00 AM,41,28.4,60.54,260,9,0,30.68,10,M,CLR,M,M,M,M,M,M,34.7
0CO,9/8/23,6:55:00 AM,41,28.4,60.54,260,9,0,30.68,10,15,CLR,M,M,M,M,M,M,34.7
0CO,9/8/23,7:55:00 AM,41,28.4,60.54,260,8,0,30.68,10,16,SCT,M,M,M,7000,M,M,35.2
0CO,9/8/23,8:55:00 AM,41,26.6,56.22,290,13,0,30.66,10,M,CLR,M,M,M,M,M,M,33.1
0CO,9/8/23,9:55:00 AM,41,26.6,56.22,290,13,0,30.66,10,M,CLR,M,M,M,M,M,M,33.1
0CO,9/8/23,10:55:00 AM,41,26.6,56.22,290,13,0,30.66,10,M,CLR,M,M,M,M,M,M,33.1
0CO,9/8/23,11:55:00 AM,41,24.8,52.17,290,12,0,30.66,10,M,CLR,M,M,M,M,M,M,33.46
0CO,9/8/23,12:35:00 PM,39.2,23,51.89,290,10,0,30.67,10,M,CLR,M,M,M,M,M,M,32
0CO,9/8/23,1:55:00 PM,41,24.8,52.17,300,13,0,30.69,10,M,CLR,M,M,M,M,M,M,33.1
0CO,9/8/23,2:55:00 PM,44.6,26.6,48.96,300,8,0,30.7,10,M,SCT,M,M,M,6000,M,M,39.63
0CO,9/8/23,3:55:00 PM,46.4,28.4,49.24,310,8,0,30.71,10,M,CLR,M,M,M,M,M,M,41.85
0CO,9/8/23,4:55:00 PM,46.4,26.6,45.73,50,5,0,30.71,10,M,SCT,SCT,M,M,5000,7000,M,43.5
0CO,9/8/23,5:55:00 PM,46.4,26.6,45.73,350,3,0,30.71,10,14,SCT,SCT,BKN,M,5000,6500,8500,45.15
0CO,9/8/23,6:55:00 PM,48.2,19.4,31.57,320,9,0,30.69,10,22,CLR,M,M,M,M,M,M,43.66
0CO,9/8/23,7:55:00 PM,51.8,21.2,29.82,350,5,0,30.68,10,M,SCT,SCT,M,M,7000,8000,M,51.8
0CO,9/8/23,8:55:00 PM,50,26.6,39.95,10,7,0,30.67,10,36,BKN,M,M,M,9500,M,M,50
0CO,9/8/23,9:55:00 PM,46.4,28.4,49.24,60,7,0,30.67,10,16,SCT,BKN,OVC,M,3900,4500,7000,42.33
0CO,9/8/23,10:55:00 PM,46.4,28.4,49.24,350,5,0,30.67,10,M,CLR,M,M,M,M,M,M,43.5
0CO,9/8/23,11:55:00 PM,44.6,28.4,52.72,310,6,0,30.67,10,M,CLR,M,M,M,M,M,M,40.71
0CO,9/9/23,12:55:00 AM,42.8,28.4,56.48,300,6,0,30.68,10,M,SCT,OVC,M,M,9000,11000,M,38.54
0CO,9/9/23,1:55:00 AM,42.8,26.6,52.45,250,12,0,30.68,10,M,CLR,M,M,M,M,M,M,35.75
0CO,9/9/23,2:55:00 AM,41,28.4,60.54,310,8,0,30.69,10,14,CLR,M,M,M,M,M,M,35.2
0CO,9/9/23,3:55:00 AM,41,28.4,60.54,260,7,0,30.7,10,15,SCT,M,M,M,11000,M,M,35.75
0CO,9/9/23,4:55:00 AM,42.8,28.4,56.48,300,11,0,30.69,10,M,SCT,SCT,M,M,7000,8000,M,36.11
0CO,9/9/23,5:55:00 AM,41,28.4,60.54,270,13,0,30.68,10,18,SCT,M,M,M,8000,M,M,33.1
0CO,9/9/23,6:55:00 AM,41,26.6,56.22,290,16,0,30.68,10,M,CLR,M,M,M,M,M,M,32.15
0CO,9/9/23,7:55:00 AM,41,26.6,56.22,290,15,0,30.66,10,M,CLR,M,M,M,M,M,M,32.45
0CO,9/9/23,8:55:00 AM,41,26.6,56.22,300,16,0,30.66,10,M,CLR,M,M,M,M,M,M,32.15
0CO,9/9/23,9:55:00 AM,41,26.6,56.22,290,15,0,30.66,10,M,CLR,M,M,M,M,M,M,32.45
0CO,9/9/23,10:55:00 AM,39.2,24.8,55.95,290,14,0,30.66,10,M,CLR,M,M,M,M,M,M,30.44
0CO,9/9/23,11:55:00 AM,39.2,24.8,55.95,290,14,0,30.67,10,M,CLR,M,M,M,M,M,M,30.44
0CO,9/9/23,12:55:00 PM,39.2,24.8,55.95,290,13,0,30.68,10,M,CLR,M,M,M,M,M,M,30.79
0CO,9/9/23,1:55:00 PM,41,26.6,56.22,300,12,0,30.68,10,18,CLR,M,M,M,M,M,M,33.46
0CO,9/9/23,2:55:00 PM,42.8,26.6,52.45,290,11,0,30.69,10,18,CLR,M,M,M,M,M,M,36.11
0CO,9/9/23,3:55:00 PM,44.6,28.4,52.72,300,11,0,30.71,10,16,CLR,M,M,M,M,M,M,38.39
0CO,9/9/23,4:55:00 PM,46.4,30.2,53,320,8,0,30.7,10,15,CLR,M,M,M,M,M,M,41.85
0CO,9/9/23,5:55:00 PM,48.2,30.2,49.53,320,8,0,30.7,10,18,BKN,BKN,BKN,M,4900,5500,11000,44.07
0CO,9/9/23,6:55:00 PM,51.8,28.4,40.25,300,13,0,30.68,10,26,BKN,BKN,M,M,5000,6500,M,51.8
0CO,9/9/23,7:55:00 PM,48.2,28.4,46.02,290,12,0,30.68,10,26,SCT,BKN,BKN,M,6000,7000,9000,42.62
0CO,9/9/23,8:55:00 PM,48.2,24.8,39.66,300,10,0,30.66,10,16,SCT,BKN,OVC,M,5500,7000,11000,43.28
